"IE_XML_ID"	"IE_NAME"	"IE_ACTIVE"	"IE_CODE"	"IP_PROP35"	"IP_PROP36"	"IP_PROP37"	"IP_PROP51"	"IP_PROP6"	"IP_PROP8"	"IP_PROP23"	"IP_PROP24"	"IP_PROP25"	"IP_PROP27"	"IP_PROP30"	"IP_PROP42"	"IP_PROP55"	"IC_GROUP0"	"CV_PRICE_1"	"CV_CURRENCY_1"
	"Журнальный стол БИНТАУ 381085"	"Y"	381085	83	74	45	56		"black"	"В резерве"	"circle"	"obez"	113000	381085	"bintou"	"Индонезия"	"Журнальные столы"	113000	"RUB"
	"Журнальный стол БИНТАУ 381086"	"Y"	381086	82	74	45	54		"black"	"В резерве"	"circle"	"obez"	109000	381086	"bintou"	"Индонезия"	"Большие столы"	109000	"RUB"
	"Журнальный стол БИНТАУ 381086"	"Y"	381086	82	74	45	54		"black"	"В резерве"	"circle"	"obez"	109000	381086	"bintou"	"Индонезия"	"Журнальные столы"	109000	"RUB"
	"Журнальный стол БИНТАУ 381087"	"N"	381087	99	81	45	68		"black"	"Под заказ"	"circle"	"obez"	137200	381087	"bintou"	"Индонезия"	"Большие столы"	137200	"RUB"
	"Журнальный стол БИНТАУ 381087"	"N"	381087	99	81	45	68		"black"	"Под заказ"	"circle"	"obez"	137200	381087	"bintou"	"Индонезия"	"Журнальные столы"	137200	"RUB"
	"Журнальный стол БИНТАУ 381088"	"Y"	381088	105	83	45	67		"black"	"В наличии"	"circle"	"obez"	135200	381088	"bintou"	"Индонезия"	"Большие столы"	135200	"RUB"
	"Журнальный стол БИНТАУ 381088"	"Y"	381088	105	83	45	67		"black"	"В наличии"	"circle"	"obez"	135200	381088	"bintou"	"Индонезия"	"Журнальные столы"	135200	"RUB"
	"Журнальный стол БИНТАУ 381089"	"Y"	381089	98	82	45	67		"black"	"В наличии"	"circle"	"obez"	135200	381089	"bintou"	"Индонезия"	"Большие столы"	135200	"RUB"
	"Журнальный стол БИНТАУ 381089"	"Y"	381089	98	82	45	67		"black"	"В наличии"	"circle"	"obez"	135200	381089	"bintou"	"Индонезия"	"Журнальные столы"	135200	"RUB"
	"Журнальный стол БИНТАУ 381090"	"Y"	381090	107	92	45	76		"black"	"В наличии"	"circle"	"obez"	153400	381090	"bintou"	"Индонезия"	"Большие столы"	153400	"RUB"
	"Журнальный стол БИНТАУ 381090"	"Y"	381090	107	92	45	76		"black"	"В наличии"	"circle"	"obez"	153400	381090	"bintou"	"Индонезия"	"Журнальные столы"	153400	"RUB"
	"Журнальный стол БИНТАУ 381091"	"Y"	381091	100	79	45	66		"black"	"В наличии"	"circle"	"obez"	133200	381091	"bintou"	"Индонезия"	"Большие столы"	133200	"RUB"
	"Журнальный стол БИНТАУ 381091"	"Y"	381091	100	79	45	66		"black"	"В наличии"	"circle"	"obez"	133200	381091	"bintou"	"Индонезия"	"Журнальные столы"	133200	"RUB"
	"Журнальный стол БИНТАУ 381092"	"Y"	381092	109	97	45	76		"black"	"В наличии"	"circle"	"obez"	153400	381092	"bintou"	"Индонезия"	"Большие столы"	153400	"RUB"
	"Журнальный стол БИНТАУ 381092"	"Y"	381092	109	97	45	76		"black"	"В наличии"	"circle"	"obez"	153400	381092	"bintou"	"Индонезия"	"Журнальные столы"	153400	"RUB"
	"Журнальный стол БИНТАУ 381093"	"Y"	381093	100	76	45	65		"black"	"В наличии"	"circle"	"obez"	131200	381093	"bintou"	"Индонезия"	"Большие столы"	131200	"RUB"
	"Журнальный стол БИНТАУ 381093"	"Y"	381093	100	76	45	65		"black"	"В наличии"	"circle"	"obez"	131200	381093	"bintou"	"Индонезия"	"Журнальные столы"	131200	"RUB"
	"Журнальный стол БИНТАУ 381094"	"N"	381094	100	75	45	67			"Под заказ"	"circle"	"obez"	135200	381094	"bintou"	"Индонезия"	"Большие столы"	135200	"RUB"
	"Журнальный стол БИНТАУ 381094"	"N"	381094	100	75	45	67			"Под заказ"	"circle"	"obez"	135200	381094	"bintou"	"Индонезия"	"Журнальные столы"	135200	"RUB"
	"Журнальный стол БИНТАУ 381095"	"Y"	381095	62	61	45	41		"black"	"В наличии"	"square"	"obez"	76800	381095	"bintou"	"Индонезия"	"Журнальные столы"	76800	"RUB"
	"Журнальный стол БИНТАУ 381096"	"Y"	381096	64	63	45	40		"black"	"В наличии"	"square"	"obez"	75000	381096	"bintou"	"Индонезия"	"Журнальные столы"	75000	"RUB"
	"Журнальный стол БИНТАУ 381097"	"Y"	381097	85	84	45	85		"AntiqueWhite"	"В резерве"	"square"	"obez"	159300	381097	"bintou"	"Индонезия"	"Большие столы"	159300	"RUB"
	"Журнальный стол БИНТАУ 381097"	"Y"	381097	85	84	45	85		"AntiqueWhite"	"В резерве"	"square"	"obez"	159300	381097	"bintou"	"Индонезия"	"Журнальные столы"	159300	"RUB"
	"Журнальный стол БИНТАУ 381098"	"Y"	381098	86	80	45	65		"black"	"В наличии"	"square"	"obez"	121800	381098	"bintou"	"Индонезия"	"Большие столы"	121800	"RUB"
	"Журнальный стол БИНТАУ 381098"	"Y"	381098	86	80	45	65		"black"	"В наличии"	"square"	"obez"	121800	381098	"bintou"	"Индонезия"	"Журнальные столы"	121800	"RUB"
	"Журнальный стол БИНТАУ 381099"	"N"	381099	90	60	45	58			"Под заказ"	"rectangular"	"obez"	108700	381099	"bintou"	"Индонезия"	"Журнальные столы"	108700	"RUB"
	"Журнальный стол БИНТАУ 381100"	"Y"	381100	98	62	45	60		"AntiqueWhite"	"В наличии"	"rectangular"	"obez"	112400	381100	"bintou"	"Индонезия"	"Журнальные столы"	112400	"RUB"
	"Журнальный стол БИНТАУ 381101"	"Y"	381101	154	82	45	117		"black"	"В наличии"	"rectangular"	"obez"	250000	381101	"bintou"	"Индонезия"	"Большие столы"	250000	"RUB"
	"Журнальный стол БИНТАУ 381102"	"Y"	381102	118	78	45	100		"black"	"В наличии"	"rectangular"	"obez"	200000	381102	"bintou"	"Индонезия"	"Большие столы"	200000	"RUB"
	"Журнальный стол БИНТАУ 381102"	"Y"	381102	118	78	45	100		"black"	"В наличии"	"rectangular"	"obez"	200000	381102	"bintou"	"Индонезия"	"Журнальные столы"	200000	"RUB"
	"Журнальный стол БИНТАУ 381103"	"N"	381103	122	82	45	84			"Под заказ"	"rectangular"	"obez"	190000	381103	"bintou"	"Индонезия"	"Большие столы"	190000	"RUB"
	"Журнальный стол БИНТАУ 381103"	"N"	381103	122	82	45	84			"Под заказ"	"rectangular"	"obez"	190000	381103	"bintou"	"Индонезия"	"Журнальные столы"	190000	"RUB"
	"Журнальный стол БИНТАУ 381104"	"Y"	381104	103	101	45	100		"black"	"В наличии"	"square"	"obez"	201800	381104	"bintou"	"Индонезия"	"Большие столы"	201800	"RUB"
	"Журнальный стол БИНТАУ 381104"	"Y"	381104	103	101	45	100		"black"	"В наличии"	"square"	"obez"	201800	381104	"bintou"	"Индонезия"	"Журнальные столы"	201800	"RUB"
	"Журнальный стол БИНТАУ 381105"	"N"	381105	107	103	45	95			"Под заказ"	"square"	"obez"	191700	381105	"bintou"	"Индонезия"	"Большие столы"	191700	"RUB"
	"Журнальный стол БИНТАУ 381105"	"N"	381105	107	103	45	95			"Под заказ"	"square"	"obez"	191700	381105	"bintou"	"Индонезия"	"Журнальные столы"	191700	"RUB"
	"Журнальный стол БИНТАУ 381106"	"Y"	381106	126	62	45	80		"AntiqueWhite"	"В наличии"	"rectangular"	"obez"	161400	381106	"bintou"	"Индонезия"	"Большие столы"	161400	"RUB"
	"Журнальный стол БИНТАУ 381106"	"Y"	381106	126	62	45	80		"AntiqueWhite"	"В наличии"	"rectangular"	"obez"	161400	381106	"bintou"	"Индонезия"	"Журнальные столы"	161400	"RUB"
	"Журнальный стол БИНТАУ 381107"	"N"	381107	121	61	45	68			"Под заказ"	"rectangular"	"obez"	137200	381107	"bintou"	"Индонезия"	"Большие столы"	137200	"RUB"
	"Журнальный стол БИНТАУ 381107"	"N"	381107	121	61	45	68			"Под заказ"	"rectangular"	"obez"	137200	381107	"bintou"	"Индонезия"	"Журнальные столы"	137200	"RUB"
	"Журнальный стол БИНТАУ 381108"	"N"	381108	69	59	45	32			"Под заказ"	"circle"	"obez"	64600	381108	"bintou"	"Индонезия"	"Журнальные столы"	64600	"RUB"
	"Журнальный стол БИНТАУ 381109"	"Y"	381109	105	86	45	25		"black"	"В наличии"	"circle"	"obez"	56000	381109	"bintou"	"Индонезия"	"Журнальные столы"	56000	"RUB"
	"Журнальный стол БИНТАУ 381110"	"N"	381110	59	53	45	23			"Под заказ"	"circle"	"obez"	54000	381110	"bintou"	"Индонезия"	"Журнальные столы"	54000	"RUB"
	"Журнальный стол БИНТАУ 381111"	"N"	381111	61	50	45	25			"Под заказ"	"circle"	"obez"	54000	381111	"bintou"	"Индонезия"	"Журнальные столы"	54000	"RUB"
	"Журнальный стол БИНТАУ 381112"	"Y"	381112	78	76	45	49		"black"	"В наличии"	"circle"	"obez"	98900	381112	"bintou"	"Индонезия"	"Журнальные столы"	98900	"RUB"
	"Журнальный стол БИНТАУ 381113"	"N"	381113	71	60	45	39			"Под заказ"	"circle"	"obez"	78700	381113	"bintou"	"Индонезия"	"Журнальные столы"	78700	"RUB"
	"Журнальный стол БИНТАУ 381114"	"Y"	381114	73	67	45	50		"black"	"В наличии"	"circle"	"obez"	100900	381114	"bintou"	"Индонезия"	"Журнальные столы"	100900	"RUB"
	"Журнальный стол БИНТАУ 381115"	"Y"	381115	110	96	45	75		"black"	"В наличии"	"circle"	"obez"	151300	381115	"bintou"	"Индонезия"	"Большие столы"	151300	"RUB"
	"Журнальный стол БИНТАУ 381115"	"Y"	381115	110	96	45	75		"black"	"В наличии"	"circle"	"obez"	151300	381115	"bintou"	"Индонезия"	"Журнальные столы"	151300	"RUB"
	"Журнальный стол БИНТАУ 381116"	"Y"	381116	110	94	45	75		"black"	"В наличии"	"circle"	"obez"	151300	381116	"bintou"	"Индонезия"	"Большие столы"	151300	"RUB"
	"Журнальный стол БИНТАУ 381116"	"Y"	381116	110	94	45	75		"black"	"В наличии"	"circle"	"obez"	151300	381116	"bintou"	"Индонезия"	"Журнальные столы"	151300	"RUB"
	"Журнальный стол БИНТАУ 381117"	"Y"	381117	91	61	45	64		"black"	"В наличии"	"rectangular"	"obez"	119900	381117	"bintou"	"Индонезия"	"Журнальные столы"	119900	"RUB"
	"Журнальный стол БИНТАУ 381118"	"Y"	381118	94	60	45	48		"black"	"В наличии"	"rectangular"	"obez"	93000	381118	"bintou"	"Индонезия"	"Журнальные столы"	93000	"RUB"
	"Журнальный стол БИНТАУ 381119"	"Y"	381119	94	61	45	52		"AntiqueWhite"	"В наличии"	"rectangular"	"obez"	98000	381119	"bintou"	"Индонезия"	"Журнальные столы"	98000	"RUB"
	"Журнальный стол БИНТАУ 381120"	"Y"	381120	122	85	45	100		"black"	"В резерве"	"rectangular"	"obez"	201800	381120	"bintou"	"Индонезия"	"Большие столы"	201800	"RUB"
